review,score,game_id,language
baldur s gate is the masterpiec everi rpg fan ha been hope for and so much more the play freedom the great charact the first class narr the satisfi combat system are unparallel and merg in perfect harmoni to creat a real work of art,1.0,1,ENGLISH
baldur s gate is one of those unicorn game you encount veri rare it s well made rich in content and welcom to gamer of all level even if you ve never heard of baldur s gate or dabbl in dungeon and dragon there s at least one part of the game that will intrigu you the narr is expertli structur combat is innov and promot ingenu and you can seamlessli enjoy your adventur alon or with friend a game with thi much freedom and content is go to entertain you for hour liter i ve play hour of thi game and i m just scratch the surfac as i said befor thi game earn it game of the year award and larian studio should give themselv a big round of applaus,1.0,1,ENGLISH
baldur s gate is a genuin all timer thi realli is as good as rpg get and it s an all timer that s arriv on seri x in fine form asid from a peski issu with delet save return to baldur s gate and success serv up the best entri in the seri to date must have been an absolut monument task but larian studio ha manag it with style to spare with top class combat write act and world build hide all of the terrifi intricaci of a refresh d amp d rulebook let us player just get on with the fun stuff there realli is no finer adventur to take in what an absolut belter and a perfect way to wrap up thi most problemat of year in the industri,1.0,1,ENGLISH
baldur s gate is everyth i expect from the game and more i can total see whi it won award as just for pure content alon it s top tier for storytel it is top tier and the gameplay is as complex as you want to make it to appeas the long term fan and the newcom it is veri involv and not some you can play in short burst you need to clear your schedul to lose yourself in the game properli,1.0,1,ENGLISH
baldur s gate realli is a triumph of game design and a masterclass in how to give control to the player without make it feel like they are head down a predetermin path regardless of their choic it s one of those rare time where you should realli believ the hype becaus it s flip awesom,1.0,1,ENGLISH
baldur s gate is a defin rpg that offer a veri complex narr and ha answer for everi possibl situat and establish itself as one of the best rpg ever made,1.0,1,ENGLISH
baldur s gate is a role play game that recreat the world of dungeon amp dragon in a fascin virtual univers with infinit possibl the game ha a great graphic qualiti an immers plot and mani option for the player although it can be difficult at first the game becom more fun and addict as you progress baldur s gate is a game that everi role play fan should tri as it will becom an unforgett benchmark in the genr,0.98,1,ENGLISH
baldur s gate is an open world rpg like no other the insan depth origin and ingenu on offer truli set a new standard for not just rpg but video game in gener a few bug asid it s as close to perfect as we ve seen in quit some time baldur s gate is a truli outstand video game,0.97,1,ENGLISH
baldur s gate hit just right in all the place from make import charact decis to the thing you hear from eavesdrop on npc convers free explor in a vast world and group play alongsid friend with so mani option from how you look to the way each scenario play out the possibl are damn near endless i would recommend baldur s gate to anyon realli regardless if you re a fan of rpg a new d amp d player d amp d veteran to anyon interest in check it out just becaus of the hype do it it s absolut worth it,0.97,1,ENGLISH
well there is no need to beat about the bush if you have read the whole review baldur s gate iii more than deserv it statu as the best game of the year it tick all the box even if you tri to find fault or shortcom the onli caveat is that as with all game baldur s gate iii is not for everyon you need to love rpg you need to love turn base combat and you need quit a lot of time to enjoy thi adventur,-0.01,1,ENGLISH
